"Path","Parameter","Value","Unit"
"Raltegravir","C_max",19799.5375374092,"µg/l"
"Raltegravir","C_max_norm",0.9033539026025,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",2.66564623435405,"µg/l"
"Raltegravir","AUC",46070.5958496216,"µg*h/l"
"Raltegravir","AUC_norm",2.1019708250087,"kg*h/l"
"Raltegravir","AUC_inf",46107.6160746118,"µg*h/l"
"Raltegravir","AUC_inf_norm",2.10365984397072,"kg*h/l"
"Raltegravir","MRT",4.12533976236979,"h"
"Raltegravir","Thalf",9.62632751464844,"h"
"Raltegravir","CL",7.92269967496395,"ml/min/kg"
"Raltegravir","Vss",1961.02976799011,"ml/kg"
"Raltegravir","Vd",6601.75848007202,"ml/kg"
