"Path","Parameter","Value","Unit"
"Raltegravir","C_max",110.493894534391,"µg/l"
"Raltegravir","C_max_norm",0.806605474029175,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",1.95631392645337,"µg/l"
"Raltegravir","AUC",241.605250593872,"µg*h/l"
"Raltegravir","AUC_norm",1.76371823139587,"kg*h/l"
"Raltegravir","AUC_inf",255.137357124456,"µg*h/l"
"Raltegravir","AUC_inf_norm",1.86250284953783,"kg*h/l"
"Raltegravir","MRT",3.32935918172201,"h"
"Raltegravir","Thalf",4.79460144042969,"h"
"Raltegravir","CL",8.94853286445141,"ml/min/kg"
"Raltegravir","Vss",1787.57274150848,"ml/kg"
"Raltegravir","Vd",3713.89937400818,"ml/kg"
