"Path","Parameter","Value","Unit"
"Raltegravir","C_max",14682.9063412769,"µg/l"
"Raltegravir","C_max_norm",0.893210100555,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",1.99703932530554,"µg/l"
"Raltegravir","AUC",34176.7635707764,"µg*h/l"
"Raltegravir","AUC_norm",2.07908634833403,"kg*h/l"
"Raltegravir","AUC_inf",34204.4744894824,"µg*h/l"
"Raltegravir","AUC_inf_norm",2.08077204898768,"kg*h/l"
"Raltegravir","MRT",4.09540557861328,"h"
"Raltegravir","Thalf",9.61798400878906,"h"
"Raltegravir","CL",8.00984725356102,"ml/min/kg"
"Raltegravir","Vss",1968.21439266205,"ml/kg"
"Raltegravir","Vd",6668.5905456543,"ml/kg"
